Date,Month,Month,Precip (in),,Month,Precip (in)
"February 6, 2010",022010,022010,0.005,,012013,2.250535714
"February 7, 2010",022010,022010,0.2125,,022013,0.59625
"February 8, 2010",022010,022010,0.02875,,032013,1.163214286
"February 9, 2010",022010,022010,0,,042013,0.110178571
"February 10, 2010",022010,022010,0.01125,,052013,0
"February 11, 2010",022010,022010,0.00375,,062013,0
"February 12, 2010",022010,022010,0,,072013,1.527321429
"February 13, 2010",022010,022010,0,,082013,0.914642857
"February 14, 2010",022010,022010,0,,092013,1.8725
"February 15, 2010",022010,022010,0,,102013,0.0475
"February 16, 2010",022010,022010,0,,112013,2.444464286
"February 17, 2010",022010,022010,0,,122013,0.619880952
"February 18, 2010",022010,022010,0,,012014,0
"February 19, 2010",022010,022010,0,,022014,0
"February 20, 2010",022010,022010,0.20625,,032014,1.51375
"February 21, 2010",022010,022010,0.50125,,042014,0.015
"February 22, 2010",022010,022010,0.22125,,052014,0
"February 23, 2010",022010,022010,0.01625,,062014,0
"February 24, 2010",022010,022010,0,,072014,0.695357143
"February 25, 2010",022010,022010,0,,082014,2.373214286
"February 26, 2010",022010,022010,0,,092014,4.987142857
"February 27, 2010",022010,022010,0.024285714,,102014,0.379642857
"February 28, 2010",022010,022010,0.857142857,,112014,0.001428571
"March 1, 2010",032010,032010,0.00125,,122014,1.414642857
"March 2, 2010",032010,032010,0,,012015,1.519702381
"March 3, 2010",032010,032010,0,,022015,0.128571429
"March 4, 2010",032010,032010,0,,032015,1.201428571
"March 5, 2010",032010,032010,0,,042015,0.4125
"March 6, 2010",032010,032010,0.06625,,052015,1.59375
"March 7, 2010",032010,032010,0.652857143,,062015,0.47625
"March 8, 2010",032010,032010,0.235714286,,072015,0.711428571
"March 9, 2010",032010,032010,0.1225,,082015,0.67625
"March 10, 2010",032010,032010,0,,092015,0.81875
"March 11, 2010",032010,032010,0.00125,,102015,1.253928571
"March 12, 2010",032010,032010,0,,112015,0.5125
"March 13, 2010",032010,032010,0,,122015,0.3825
"March 14, 2010",032010,032010,0,,012016,2.02625
"March 15, 2010",032010,032010,0,,022016,0.195
"March 16, 2010",032010,032010,0,,032016,0.00125
"March 17, 2010",032010,032010,0,,042016,0.561428571
"March 18, 2010",032010,032010,0,,052016,0.138571429
"March 19, 2010",032010,032010,0.00125,,062016,0.168571429
"March 20, 2010",032010,032010,0,,072016,0.414285714
"March 21, 2010",032010,032010,0,,082016,1.831428571
"March 22, 2010",032010,032010,0,,092016,0.249047619
"March 23, 2010",032010,032010,0.195,,102016,0.3
"March 24, 2010",032010,032010,0,,112016,0.902857143
"March 25, 2010",032010,032010,0,,122016,1.41547619
"March 26, 2010",032010,032010,0,,012017,1.710714286
"March 27, 2010",032010,032010,0,,022017,2.085535714
"March 28, 2010",032010,032010,0,,032017,0.097142857
"March 29, 2010",032010,032010,0,,042017,0.025
"March 30, 2010",032010,032010,0,,052017,0.118
"March 31, 2010",032010,032010,0,,062017,0
"April 1, 2010",042010,042010,0.00125,,072017,2.292678571
"April 2, 2010",042010,042010,0,,082017,0.78625
"April 3, 2010",042010,042010,0,,092017,0.13
"April 4, 2010",042010,042010,0,,102017,0.005
"April 5, 2010",042010,042010,0,,112017,0.00625
"April 6, 2010",042010,042010,0,,122017,0.218928571
"April 7, 2010",042010,042010,0,,012018,0.4575
"April 8, 2010",042010,042010,0,,022018,0.53625
"April 9, 2010",042010,042010,0,,032018,0.056785714
"April 10, 2010",042010,042010,0,,042018,0
"April 11, 2010",042010,042010,0,,052018,0.08625
"April 12, 2010",042010,042010,0,,062018,0.10875
"April 13, 2010",042010,042010,0,,072018,1.136785714
"April 14, 2010",042010,042010,0,,082018,2.016428571
"April 15, 2010",042010,042010,0,,092018,0.372142857
"April 16, 2010",042010,042010,0,,102018,5.005357143
"April 17, 2010",042010,042010,0,,112018,0.35952381
"April 18, 2010",042010,042010,0,,122018,0.243571429
"April 19, 2010",042010,042010,0,,012019,1.038214286
"April 20, 2010",042010,042010,0,,022019,3.121071429
"April 21, 2010",042010,042010,0,,032019,1.01125
"April 22, 2010",042010,042010,0.01,,042019,0.175
"April 23, 2010",042010,042010,0,,052019,0.321964286
"April 24, 2010",042010,042010,0,,062019,0
"April 25, 2010",042010,042010,0,,072019,0.493571429
"April 26, 2010",042010,042010,0,,082019,0.349285714
"April 27, 2010",042010,042010,0,,092019,1.701607143
"April 28, 2010",042010,042010,0,,102019,0
"April 29, 2010",042010,042010,0,,112019,2.99625
"April 30, 2010",042010,042010,0,,122019,1.822857143
"May 1, 2010",052010,052010,0,,012020,0.191428571
"May 2, 2010",052010,052010,0,,022020,1.97375
"May 3, 2010",052010,052010,0,,032020,2.765
"May 4, 2010",052010,052010,0,,042020,0.07375
"May 5, 2010",052010,052010,0,,052020,0.035
"May 6, 2010",052010,052010,0,,062020,0
"May 7, 2010",052010,052010,0,,072020,0.141607143
"May 8, 2010",052010,052010,0,,082020,0.514642857
"May 9, 2010",052010,052010,0,,092020,0.00875
"May 10, 2010",052010,052010,0,,102020,0
"May 11, 2010",052010,052010,0,,112020,0.047678571
"May 12, 2010",052010,052010,0,,122020,0.6
"May 13, 2010",052010,052010,0,,012021,1.380964286
"May 14, 2010",052010,052010,0,,022021,0.042857143
"May 15, 2010",052010,052010,0,,,
"May 16, 2010",052010,052010,0,,,
"May 17, 2010",052010,052010,0,,,
"May 18, 2010",052010,052010,0,,,
"May 19, 2010",052010,052010,0,,,
"May 20, 2010",052010,052010,0,,,
"May 21, 2010",052010,052010,0,,,
"May 22, 2010",052010,052010,0,,,
"May 23, 2010",052010,052010,0,,,
"May 24, 2010",052010,052010,0,,,
"May 25, 2010",052010,052010,0,,,
"May 26, 2010",052010,052010,0,,,
"May 27, 2010",052010,052010,0,,,
"May 28, 2010",052010,052010,0,,,
"May 29, 2010",052010,052010,0,,,
"May 30, 2010",052010,052010,0,,,
"May 31, 2010",052010,052010,0,,,
"June 1, 2010",062010,062010,0,,,
"June 2, 2010",062010,062010,0,,,
"June 3, 2010",062010,062010,0,,,
"June 4, 2010",062010,062010,0,,,
"June 5, 2010",062010,062010,0,,,
"June 6, 2010",062010,062010,0,,,
"June 7, 2010",062010,062010,0,,,
"June 8, 2010",062010,062010,0,,,
"June 9, 2010",062010,062010,0,,,
"June 10, 2010",062010,062010,0,,,
"June 11, 2010",062010,062010,0,,,
"June 12, 2010",062010,062010,0,,,
"June 13, 2010",062010,062010,0,,,
"June 14, 2010",062010,062010,0,,,
"June 15, 2010",062010,062010,0,,,
"June 16, 2010",062010,062010,0,,,
"June 17, 2010",062010,062010,0,,,
"June 18, 2010",062010,062010,0,,,
"June 19, 2010",062010,062010,0,,,
"June 20, 2010",062010,062010,0,,,
"June 21, 2010",062010,062010,0,,,
"June 22, 2010",062010,062010,0,,,
"June 23, 2010",062010,062010,0,,,
"June 24, 2010",062010,062010,0,,,
"June 25, 2010",062010,062010,0,,,
"June 26, 2010",062010,062010,0,,,
"June 27, 2010",062010,062010,0,,,
"June 28, 2010",062010,062010,0,,,
"June 29, 2010",062010,062010,0,,,
"June 30, 2010",062010,062010,0,,,
"July 1, 2010",072010,072010,0,,,
"July 2, 2010",072010,072010,0,,,
"July 3, 2010",072010,072010,0,,,
"July 4, 2010",072010,072010,0,,,
"July 5, 2010",072010,072010,0,,,
"July 6, 2010",072010,072010,0,,,
"July 7, 2010",072010,072010,0,,,
"July 8, 2010",072010,072010,0,,,
"July 9, 2010",072010,072010,0.0025,,,
"July 10, 2010",072010,072010,0.075,,,
"July 11, 2010",072010,072010,0.00625,,,
"July 12, 2010",072010,072010,0,,,
"July 13, 2010",072010,072010,0,,,
"July 14, 2010",072010,072010,0,,,
"July 15, 2010",072010,072010,0,,,
"July 16, 2010",072010,072010,0,,,
"July 17, 2010",072010,072010,0,,,
"July 18, 2010",072010,072010,0.02625,,,
"July 19, 2010",072010,072010,0.00875,,,
"July 20, 2010",072010,072010,0.00625,,,
"July 21, 2010",072010,072010,0,,,
"July 22, 2010",072010,072010,0.00125,,,
"July 23, 2010",072010,072010,0.011428571,,,
"July 24, 2010",072010,072010,0,,,
"July 25, 2010",072010,072010,0.00875,,,
"July 26, 2010",072010,072010,0.0125,,,
"July 27, 2010",072010,072010,0.0525,,,
"July 28, 2010",072010,072010,0.0375,,,
"July 29, 2010",072010,072010,0.365,,,
"July 30, 2010",072010,072010,0.09,,,
"July 31, 2010",072010,072010,0.42875,,,
"August 1, 2010",082010,082010,0.0425,,,
"August 2, 2010",082010,082010,0,,,
"August 3, 2010",082010,082010,0,,,
"August 4, 2010",082010,082010,0,,,
"August 5, 2010",082010,082010,0,,,
"August 6, 2010",082010,082010,0.00375,,,
"August 7, 2010",082010,082010,0.05125,,,
"August 8, 2010",082010,082010,0.125,,,
"August 9, 2010",082010,082010,0,,,
"August 10, 2010",082010,082010,0,,,
"August 11, 2010",082010,082010,0,,,
"August 12, 2010",082010,082010,0,,,
"August 13, 2010",082010,082010,0,,,
"August 14, 2010",082010,082010,0,,,
"August 15, 2010",082010,082010,0,,,
"August 16, 2010",082010,082010,0,,,
"August 17, 2010",082010,082010,0.11375,,,
"August 18, 2010",082010,082010,0.135,,,
"August 19, 2010",082010,082010,0,,,
"August 20, 2010",082010,082010,0,,,
"August 21, 2010",082010,082010,0.1725,,,
"August 22, 2010",082010,082010,0.2425,,,
"August 23, 2010",082010,082010,0,,,
"August 24, 2010",082010,082010,0.1075,,,
"August 25, 2010",082010,082010,0.00375,,,
"August 26, 2010",082010,082010,0,,,
"August 27, 2010",082010,082010,0,,,
"August 28, 2010",082010,082010,0.02375,,,
"August 29, 2010",082010,082010,0.0025,,,
"August 30, 2010",082010,082010,0,,,
"August 31, 2010",082010,082010,0,,,
"September 1, 2010",092010,092010,0,,,
"September 2, 2010",092010,092010,0,,,
"September 3, 2010",092010,092010,0,,,
"September 4, 2010",092010,092010,0,,,
"September 5, 2010",092010,092010,0,,,
"September 6, 2010",092010,092010,0,,,
"September 7, 2010",092010,092010,0,,,
"September 8, 2010",092010,092010,0.00625,,,
"September 9, 2010",092010,092010,0,,,
"September 10, 2010",092010,092010,0,,,
"September 11, 2010",092010,092010,0,,,
"September 12, 2010",092010,092010,0,,,
"September 13, 2010",092010,092010,0,,,
"September 14, 2010",092010,092010,0,,,
"September 15, 2010",092010,092010,0,,,
"September 16, 2010",092010,092010,0,,,
"September 17, 2010",092010,092010,0,,,
"September 18, 2010",092010,092010,0,,,
"September 19, 2010",092010,092010,0,,,
"September 20, 2010",092010,092010,0,,,
"September 21, 2010",092010,092010,0,,,
"September 22, 2010",092010,092010,0.371428571,,,
"September 23, 2010",092010,092010,0.0075,,,
"September 24, 2010",092010,092010,0,,,
"September 25, 2010",092010,092010,0,,,
"September 26, 2010",092010,092010,0,,,
"September 27, 2010",092010,092010,0,,,
"September 28, 2010",092010,092010,0,,,
"September 29, 2010",092010,092010,0,,,
"September 30, 2010",092010,092010,0,,,
"October 1, 2010",102010,102010,0,,,
"October 2, 2010",102010,102010,0,,,
"October 3, 2010",102010,102010,0.008571429,,,
"October 4, 2010",102010,102010,0.061428571,,,
"October 5, 2010",102010,102010,0.54,,,
"October 6, 2010",102010,102010,0.08875,,,
"October 7, 2010",102010,102010,0,,,
"October 8, 2010",102010,102010,0,,,
"October 9, 2010",102010,102010,0,,,
"October 10, 2010",102010,102010,0,,,
"October 11, 2010",102010,102010,0,,,
"October 12, 2010",102010,102010,0,,,
"October 13, 2010",102010,102010,0,,,
"October 14, 2010",102010,102010,0,,,
"October 15, 2010",102010,102010,0,,,
"October 16, 2010",102010,102010,0,,,
"October 17, 2010",102010,102010,0,,,
"October 18, 2010",102010,102010,0,,,
"October 19, 2010",102010,102010,0,,,
"October 20, 2010",102010,102010,0.022857143,,,
"October 21, 2010",102010,102010,0.27,,,
"October 22, 2010",102010,102010,0.00125,,,
"October 23, 2010",102010,102010,0,,,
"October 24, 2010",102010,102010,0,,,
"October 25, 2010",102010,102010,0,,,
"October 26, 2010",102010,102010,0,,,
"October 27, 2010",102010,102010,0,,,
"October 28, 2010",102010,102010,0,,,
"October 29, 2010",102010,102010,0,,,
"October 30, 2010",102010,102010,0,,,
"October 31, 2010",102010,102010,0,,,
"November 1, 2010",112010,112010,0,,,
"November 2, 2010",112010,112010,0,,,
"November 3, 2010",112010,112010,0,,,
"November 4, 2010",112010,112010,0,,,
"November 5, 2010",112010,112010,0,,,
"November 6, 2010",112010,112010,0,,,
"November 7, 2010",112010,112010,0,,,
"November 8, 2010",112010,112010,0,,,
"November 9, 2010",112010,112010,0,,,
"November 10, 2010",112010,112010,0,,,
"November 11, 2010",112010,112010,0,,,
"November 12, 2010",112010,112010,0,,,
"November 13, 2010",112010,112010,0,,,
"November 14, 2010",112010,112010,0,,,
"November 15, 2010",112010,112010,0,,,
"November 16, 2010",112010,112010,0,,,
"November 17, 2010",112010,112010,0,,,
"November 18, 2010",112010,112010,0,,,
"November 19, 2010",112010,112010,0,,,
"November 20, 2010",112010,112010,0,,,
"November 21, 2010",112010,112010,0.1,,,
"November 22, 2010",112010,112010,0.08,,,
"November 23, 2010",112010,112010,0,,,
"November 24, 2010",112010,112010,0,,,
"November 25, 2010",112010,112010,0,,,
"November 26, 2010",112010,112010,0,,,
"November 27, 2010",112010,112010,0,,,
"November 28, 2010",112010,112010,0.0125,,,
"November 29, 2010",112010,112010,0,,,
"November 30, 2010",112010,112010,0,,,
"December 1, 2010",122010,122010,0,,,
"December 2, 2010",122010,122010,0,,,
"December 3, 2010",122010,122010,0,,,
"December 4, 2010",122010,122010,0,,,
"December 5, 2010",122010,122010,0,,,
"December 6, 2010",122010,122010,0,,,
"December 7, 2010",122010,122010,0,,,
"December 8, 2010",122010,122010,0,,,
"December 9, 2010",122010,122010,0,,,
"December 10, 2010",122010,122010,0,,,
"December 11, 2010",122010,122010,0,,,
"December 12, 2010",122010,122010,0,,,
"December 13, 2010",122010,122010,0,,,
"December 14, 2010",122010,122010,0,,,
"December 15, 2010",122010,122010,0,,,
"December 16, 2010",122010,122010,0.197142857,,,
"December 17, 2010",122010,122010,0.054285714,,,
"December 18, 2010",122010,122010,0.00875,,,
"December 19, 2010",122010,122010,0,,,
"December 20, 2010",122010,122010,0,,,
"December 21, 2010",122010,122010,0.04,,,
"December 22, 2010",122010,122010,0.165714286,,,
"December 23, 2010",122010,122010,0.33125,,,
"December 24, 2010",122010,122010,0,,,
"December 25, 2010",122010,122010,0,,,
"December 26, 2010",122010,122010,0,,,
"December 27, 2010",122010,122010,0,,,
"December 28, 2010",122010,122010,0,,,
"December 29, 2010",122010,122010,0.47875,,,
"December 30, 2010",122010,122010,0.5025,,,
"December 31, 2010",122010,122010,0.00125,,,
"January 1, 2011",012011,012011,0,,,
"January 2, 2011",012011,012011,0,,,
"January 3, 2011",012011,012011,0.0025,,,
"January 4, 2011",012011,012011,0,,,
"January 5, 2011",012011,012011,0,,,
"January 6, 2011",012011,012011,0,,,
"January 7, 2011",012011,012011,0.00125,,,
"January 8, 2011",012011,012011,0,,,
"January 9, 2011",012011,012011,0,,,
"January 10, 2011",012011,012011,0,,,
"January 11, 2011",012011,012011,0,,,
"January 12, 2011",012011,012011,0,,,
"January 13, 2011",012011,012011,0,,,
"January 14, 2011",012011,012011,0,,,
"January 15, 2011",012011,012011,0,,,
"January 16, 2011",012011,012011,0,,,
"January 17, 2011",012011,012011,0,,,
"January 18, 2011",012011,012011,0,,,
"January 19, 2011",012011,012011,0,,,
"January 20, 2011",012011,012011,0,,,
"January 21, 2011",012011,012011,0,,,
"January 22, 2011",012011,012011,0,,,
"January 23, 2011",012011,012011,0,,,
"January 24, 2011",012011,012011,0,,,
"January 25, 2011",012011,012011,0,,,
"January 26, 2011",012011,012011,0,,,
"January 27, 2011",012011,012011,0,,,
"January 28, 2011",012011,012011,0,,,
"January 29, 2011",012011,012011,0,,,
"January 30, 2011",012011,012011,0,,,
"January 31, 2011",012011,012011,0.021428571,,,
"February 1, 2011",022011,022011,0,,,
"February 2, 2011",022011,022011,0,,,
"February 3, 2011",022011,022011,0,,,
"February 4, 2011",022011,022011,0,,,
"February 5, 2011",022011,022011,0,,,
"February 6, 2011",022011,022011,0,,,
"February 7, 2011",022011,022011,0,,,
"February 8, 2011",022011,022011,0,,,
"February 9, 2011",022011,022011,0,,,
"February 10, 2011",022011,022011,0,,,
"February 11, 2011",022011,022011,0,,,
"February 12, 2011",022011,022011,0,,,
"February 13, 2011",022011,022011,0,,,
"February 14, 2011",022011,022011,0,,,
"February 15, 2011",022011,022011,0,,,
"February 16, 2011",022011,022011,0,,,
"February 17, 2011",022011,022011,0,,,
"February 18, 2011",022011,022011,0,,,
"February 19, 2011",022011,022011,0.42125,,,
"February 20, 2011",022011,022011,0.2725,,,
"February 21, 2011",022011,022011,0.0075,,,
"February 22, 2011",022011,022011,0,,,
"February 23, 2011",022011,022011,0,,,
"February 24, 2011",022011,022011,0,,,
"February 25, 2011",022011,022011,0,,,
"February 26, 2011",022011,022011,0.02625,,,
"February 27, 2011",022011,022011,0.448571429,,,
"February 28, 2011",022011,022011,0,,,
"March 1, 2011",032011,032011,0,,,
"March 2, 2011",032011,032011,0,,,
"March 3, 2011",032011,032011,0,,,
"March 4, 2011",032011,032011,0,,,
"March 5, 2011",032011,032011,0,,,
"March 6, 2011",032011,032011,0,,,
"March 7, 2011",032011,032011,0,,,
"March 8, 2011",032011,032011,0,,,
"March 9, 2011",032011,032011,0,,,
"March 10, 2011",032011,032011,0,,,
"March 11, 2011",032011,032011,0,,,
"March 12, 2011",032011,032011,0,,,
"March 13, 2011",032011,032011,0,,,
"March 14, 2011",032011,032011,0,,,
"March 15, 2011",032011,032011,0,,,
"March 16, 2011",032011,032011,0,,,
"March 17, 2011",032011,032011,0,,,
"March 18, 2011",032011,032011,0,,,
"March 19, 2011",032011,032011,0,,,
"March 20, 2011",032011,032011,0,,,
"March 21, 2011",032011,032011,0.211428571,,,
"March 22, 2011",032011,032011,0.0475,,,
"March 23, 2011",032011,032011,0,,,
"March 24, 2011",032011,032011,0.001428571,,,
"March 25, 2011",032011,032011,0,,,
"March 26, 2011",032011,032011,0,,,
"March 27, 2011",032011,032011,0,,,
"March 28, 2011",032011,032011,0,,,
"March 29, 2011",032011,032011,0,,,
"March 30, 2011",032011,032011,0,,,
"March 31, 2011",032011,032011,0,,,
"April 1, 2011",042011,042011,0,,,
"April 2, 2011",042011,042011,0,,,
"April 3, 2011",042011,042011,0,,,
"April 4, 2011",042011,042011,0,,,
"April 5, 2011",042011,042011,0,,,
"April 6, 2011",042011,042011,0.0075,,,
"April 7, 2011",042011,042011,0.02,,,
"April 8, 2011",042011,042011,0,,,
"April 9, 2011",042011,042011,0.44125,,,
"April 10, 2011",042011,042011,0.022857143,,,
"April 11, 2011",042011,042011,0,,,
"April 12, 2011",042011,042011,0,,,
"April 13, 2011",042011,042011,0,,,
"April 14, 2011",042011,042011,0,,,
"April 15, 2011",042011,042011,0,,,
"April 16, 2011",042011,042011,0,,,
"April 17, 2011",042011,042011,0,,,
"April 18, 2011",042011,042011,0,,,
"April 19, 2011",042011,042011,0,,,
"April 20, 2011",042011,042011,0,,,
"April 21, 2011",042011,042011,0,,,
"April 22, 2011",042011,042011,0,,,
"April 23, 2011",042011,042011,0,,,
"April 24, 2011",042011,042011,0,,,
"April 25, 2011",042011,042011,0,,,
"April 26, 2011",042011,042011,0,,,
"April 27, 2011",042011,042011,0,,,
"April 28, 2011",042011,042011,0,,,
"April 29, 2011",042011,042011,0,,,
"April 30, 2011",042011,042011,0,,,
"May 1, 2011",052011,052011,0,,,
"May 2, 2011",052011,052011,0,,,
"May 3, 2011",052011,052011,0,,,
"May 4, 2011",052011,052011,0,,,
"May 5, 2011",052011,052011,0,,,
"May 6, 2011",052011,052011,0,,,
"May 7, 2011",052011,052011,0,,,
"May 8, 2011",052011,052011,0,,,
"May 9, 2011",052011,052011,0,,,
"May 10, 2011",052011,052011,0.00125,,,
"May 11, 2011",052011,052011,0,,,
"May 12, 2011",052011,052011,0,,,
"May 13, 2011",052011,052011,0,,,
"May 14, 2011",052011,052011,0,,,
"May 15, 2011",052011,052011,0,,,
"May 16, 2011",052011,052011,0,,,
"May 17, 2011",052011,052011,0,,,
"May 18, 2011",052011,052011,0.01375,,,
"May 19, 2011",052011,052011,0.0125,,,
"May 20, 2011",052011,052011,0,,,
"May 21, 2011",052011,052011,0,,,
"May 22, 2011",052011,052011,0,,,
"May 23, 2011",052011,052011,0,,,
"May 24, 2011",052011,052011,0,,,
"May 25, 2011",052011,052011,0,,,
"May 26, 2011",052011,052011,0,,,
"May 27, 2011",052011,052011,0,,,
"May 28, 2011",052011,052011,0,,,
"May 29, 2011",052011,052011,0,,,
"May 30, 2011",052011,052011,0,,,
"May 31, 2011",052011,052011,0,,,
"June 1, 2011",062011,062011,0,,,
"June 2, 2011",062011,062011,0,,,
"June 3, 2011",062011,062011,0,,,
"June 4, 2011",062011,062011,0,,,
"June 5, 2011",062011,062011,0,,,
"June 6, 2011",062011,062011,0,,,
"June 7, 2011",062011,062011,0,,,
"June 8, 2011",062011,062011,0,,,
"June 9, 2011",062011,062011,0,,,
"June 10, 2011",062011,062011,0,,,
"June 11, 2011",062011,062011,0,,,
"June 12, 2011",062011,062011,0,,,
"June 13, 2011",062011,062011,0,,,
"June 14, 2011",062011,062011,0,,,
"June 15, 2011",062011,062011,0,,,
"June 16, 2011",062011,062011,0,,,
"June 17, 2011",062011,062011,0,,,
"June 18, 2011",062011,062011,0,,,
"June 19, 2011",062011,062011,0,,,
"June 20, 2011",062011,062011,0,,,
"June 21, 2011",062011,062011,0,,,
"June 22, 2011",062011,062011,0,,,
"June 23, 2011",062011,062011,0,,,
"June 24, 2011",062011,062011,0,,,
"June 25, 2011",062011,062011,0,,,
"June 26, 2011",062011,062011,0,,,
"June 27, 2011",062011,062011,0,,,
"June 28, 2011",062011,062011,0,,,
"June 29, 2011",062011,062011,0,,,
"June 30, 2011",062011,062011,0,,,
"July 1, 2011",072011,072011,0,,,
"July 2, 2011",072011,072011,0.005714286,,,
"July 3, 2011",072011,072011,0.0125,,,
"July 4, 2011",072011,072011,0.21,,,
"July 5, 2011",072011,072011,0.00625,,,
"July 6, 2011",072011,072011,0.015,,,
"July 7, 2011",072011,072011,0,,,
"July 8, 2011",072011,072011,0.0025,,,
"July 9, 2011",072011,072011,0,,,
"July 10, 2011",072011,072011,0.07,,,
"July 11, 2011",072011,072011,0.255,,,
"July 12, 2011",072011,072011,0,,,
"July 13, 2011",072011,072011,0,,,
"July 14, 2011",072011,072011,0,,,
"July 15, 2011",072011,072011,0,,,
"July 16, 2011",072011,072011,0,,,
"July 17, 2011",072011,072011,0,,,
"July 18, 2011",072011,072011,0,,,
"July 19, 2011",072011,072011,0,,,
"July 20, 2011",072011,072011,0,,,
"July 21, 2011",072011,072011,0,,,
"July 22, 2011",072011,072011,0,,,
"July 23, 2011",072011,072011,0,,,
"July 24, 2011",072011,072011,0.1525,,,
"July 25, 2011",072011,072011,0.26125,,,
"July 26, 2011",072011,072011,0,,,
"July 27, 2011",072011,072011,0,,,
"July 28, 2011",072011,072011,0,,,
"July 29, 2011",072011,072011,0,,,
"July 30, 2011",072011,072011,0.031428571,,,
"July 31, 2011",072011,072011,0.12375,,,
"August 1, 2011",082011,082011,0.20625,,,
"August 2, 2011",082011,082011,0,,,
"August 3, 2011",082011,082011,0.11,,,
"August 4, 2011",082011,082011,0.035714286,,,
"August 5, 2011",082011,082011,0.0075,,,
"August 6, 2011",082011,082011,0,,,
"August 7, 2011",082011,082011,0,,,
"August 8, 2011",082011,082011,0,,,
"August 9, 2011",082011,082011,0,,,
"August 10, 2011",082011,082011,0,,,
"August 11, 2011",082011,082011,0,,,
"August 12, 2011",082011,082011,0,,,
"August 13, 2011",082011,082011,0.0825,,,
"August 14, 2011",082011,082011,0.01125,,,
"August 15, 2011",082011,082011,0.005,,,
"August 16, 2011",082011,082011,0,,,
"August 17, 2011",082011,082011,0,,,
"August 18, 2011",082011,082011,0.035,,,
"August 19, 2011",082011,082011,0.05625,,,
"August 20, 2011",082011,082011,0,,,
"August 21, 2011",082011,082011,0,,,
"August 22, 2011",082011,082011,0,,,
"August 23, 2011",082011,082011,0,,,
"August 24, 2011",082011,082011,0,,,
"August 25, 2011",082011,082011,0,,,
"August 26, 2011",082011,082011,0,,,
"August 27, 2011",082011,082011,0.155714286,,,
"August 28, 2011",082011,082011,0,,,
"August 29, 2011",082011,082011,0,,,
"August 30, 2011",082011,082011,0,,,
"August 31, 2011",082011,082011,0,,,
"September 1, 2011",092011,092011,0,,,
"September 2, 2011",092011,092011,0.00375,,,
"September 3, 2011",092011,092011,0,,,
"September 4, 2011",092011,092011,0,,,
"September 5, 2011",092011,092011,0,,,
"September 6, 2011",092011,092011,0,,,
"September 7, 2011",092011,092011,0,,,
"September 8, 2011",092011,092011,0,,,
"September 9, 2011",092011,092011,0.00125,,,
"September 10, 2011",092011,092011,0.008571429,,,
"September 11, 2011",092011,092011,0.084285714,,,
"September 12, 2011",092011,092011,0,,,
"September 13, 2011",092011,092011,0.01125,,,
"September 14, 2011",092011,092011,0.038571429,,,
"September 15, 2011",092011,092011,0,,,
"September 16, 2011",092011,092011,0,,,
"September 17, 2011",092011,092011,0,,,
"September 18, 2011",092011,092011,0,,,
"September 19, 2011",092011,092011,0,,,
"September 20, 2011",092011,092011,0,,,
"September 21, 2011",092011,092011,0,,,
"September 22, 2011",092011,092011,0,,,
"September 23, 2011",092011,092011,0,,,
"September 24, 2011",092011,092011,0,,,
"September 25, 2011",092011,092011,0,,,
"September 26, 2011",092011,092011,0,,,
"September 27, 2011",092011,092011,0,,,
"September 28, 2011",092011,092011,0,,,
